breeder,enrichment,x_cm,y_cm,z_cm,flux,flux_std_dev
pbli,90,-15.0,-33.0,-14.5,0.0006854647404939167,4.38409122078569e-06
pbli,90,-13.0,-33.0,-14.5,0.0006891167236559221,3.886063778162606e-06
pbli,90,-11.0,-33.0,-14.5,0.0006970453406619822,4.647736337041753e-06
pbli,90,-9.0,-33.0,-14.5,0.0007002202238622544,4.274041327961336e-06
pbli,90,-7.0,-33.0,-14.5,0.000697745320946365,4.4713568499561026e-06
pbli,90,-5.0,-33.0,-14.5,0.0006961385353789093,4.533922995242414e-06
pbli,90,-3.0,-33.0,-14.5,0.0006989877102595778,4.659937490709213e-06
pbli,90,-1.0,-33.0,-14.5,0.0007006849143596796,4.064262178659451e-06
pbli,90,1.0,-33.0,-14.5,0.0007000169974565026,4.97248846451426e-06
pbli,90,3.0,-33.0,-14.5,0.0007015555656182059,4.2946052136026695e-06
pbli,90,5.0,-33.0,-14.5,0.0006989224546961222,4.403059912584387e-06
pbli,90,7.0,-33.0,-14.5,0.0006958937928678298,5.090297380372524e-06
pbli,90,9.0,-33.0,-14.5,0.0006977104904851248,4.248538628409058e-06
pbli,90,11.0,-33.0,-14.5,0.0006961116444111466,4.611522829088401e-06
pbli,90,13.0,-33.0,-14.5,0.0006881273691287094,4.506741264448333e-06
pbli,90,15.0,-33.0,-14.5,0.0006831471673780991,4.828952473188152e-06
pbli,90,17.0,-33.0,-14.5,0.0006741060012301342,3.4239085231792098e-06
pbli,90,19.0,-33.0,-14.5,0.0006717207168589583,4.4194646669743676e-06
pbli,90,21.0,-33.0,-14.5,0.0006538699651757516,4.562722669654304e-06
pbli,90,23.0,-33.0,-14.5,0.0006439291793071526,3.6591273275277045e-06
pbli,90,25.0,-33.0,-14.5,0.0006322823787058638,4.008026464967659e-06
pbli,90,27.0,-33.0,-14.5,0.000616913562250279,4.0646098709776425e-06
pbli,90,29.0,-33.0,-14.5,0.0005993881596119692,4.190877624092186e-06
pbli,90,31.0,-33.0,-14.5,0.000578410921313107,4.49823781426426e-06
pbli,90,33.0,-33.0,-14.5,0.0005542755371260587,3.704436652620525e-06
pbli,90,35.0,-33.0,-14.5,0.0005191237978803101,4.123927005495813e-06
pbli,90,37.0,-33.0,-14.5,0.00048093981383551726,4.0548495801605275e-06
pbli,90,39.0,-33.0,-14.5,0.0004241003729001321,3.6432962449748213e-06
